Temps;ax;ay;az;gx;gy;gz
8972;0.2588;0.6255;-0.0806;15.3659;15.3659;15.3659
8982;-0.9639;0.7524;-0.3403;5.7927;5.7927;5.7927
8992;-2.1362;0.6196;-0.6147;-10.0610;-10.0610;-10.0610
9003;-2.8896;0.3311;-0.7920;-19.5732;-19.5732;-19.5732
9013;-3.2866;0.0527;-0.8267;-6.7073;-6.7073;-6.7073
9023;-3.8594;-0.0171;-0.8096;43.1098;43.1098;43.1098
9033;-3.5576;-0.2246;-0.6206;-26.3415;-26.3415;-26.3415
9043;-2.9438;-0.1396;-0.7178;12.3171;12.3171;12.3171
9053;-2.3794;0.2705;-0.4751;45.5488;45.5488;45.5488
9063;-1.8970;0.0640;-0.2339;67.3781;67.3781;67.3781
9073;-1.0161;-0.0356;-0.3125;70.7927;70.7927;70.7927
9083;-0.6230;-0.1074;-0.1924;20.2439;20.2439;20.2439
9093;-0.4326;-0.0503;-0.0718;-27.1951;-27.1951;-27.1951
9103;-0.3218;0.0767;-0.0220;-57.4390;-57.4390;-57.4390
9113;-0.3223;0.1553;0.0200;-59.3902;-59.3902;-59.3902
9123;-0.3472;0.1885;0.0483;-40.4268;-40.4268;-40.4268
9133;-0.3994;0.2056;0.0391;-28.1098;-28.1098;-28.1098
9143;-0.5327;0.2246;0.0063;-29.5732;-29.5732;-29.5732
9153;-0.7651;0.2651;-0.0195;-27.6220;-27.6220;-27.6220
9163;-1.0801;0.2563;-0.0840;-18.7805;-18.7805;-18.7805
9174;-1.3657;0.1724;-0.1563;-20.3049;-20.3049;-20.3049
9184;-1.6182;0.1255;-0.2021;-30.6098;-30.6098;-30.6098
9194;-1.7964;0.0640;-0.2681;-31.3415;-31.3415;-31.3415
9204;-1.7773;0.0562;-0.2725;-32.1951;-32.1951;-32.1951
9214;-1.6987;0.0732;-0.2603;-30.4268;-30.4268;-30.4268
9224;-1.5737;0.0840;-0.2241;-30.2439;-30.2439;-30.2439
9234;-1.3911;0.0220;-0.2319;-31.8293;-31.8293;-31.8293
9244;-1.2202;-0.0386;-0.2124;-37.2561;-37.2561;-37.2561
9254;-0.9668;-0.0200;-0.1465;-38.8415;-38.8415;-38.8415
9264;-0.6445;-0.0210;-0.1001;-36.5854;-36.5854;-36.5854
9274;-0.3745;-0.0322;-0.0313;-33.7805;-33.7805;-33.7805
